,Surgeons,Hospitals,Avg Review,% Negative Outcome,Class,Predicted Class,Rating
286,Dr. Rick Jeffrey Schmidt,Mease Countryside Hospital;Mease Dunedin Hospital;,4.366666666666667,25.9,2,1,3 stars
287,Dr. Robert Steven Scoma,Good Samaritan Medical Center (West Palm Beach);JFK Medical Center (Atlantis);,4.385135135135135,27.4,2,3,1 star
288,Dr. Andrew James Sherman,St. Joseph's Hospital (Tampa);Lakeland Regional Medical Center;,4.458064516129033,25.7,2,2,2 stars
289,Dr. Michael G. Siegman,Brandon Regional Hospital;Tampa General Hospital;,5.0,29.5,2,1,3 stars
291,Dr. David P. Sims,Wuesthoff Medical Center - Rockledge;,4.866666666666666,23.9,2,2,2 stars
292,Dr. Bryan Leonard Smith,Venice Regional Bayfront Health;,3.4000000000000004,23.6,2,3,1 star
293,Dr. Ronald Smith,Manatee Memorial Hospital;Blake Medical Center;St. Bernards Medical Center;,4.495774647887324,35.2,2,2,2 stars
294,Dr. Jeffery S. Snyder,North Florida Regional Medical Center;,3.9,43.2,3,3,1 star
295,Dr. Keith Eric Sommers,Tampa General Hospital;H. Lee Moffitt Cancer Center and Research Institute;Florida Hospital Tampa;,4.001999999999999,26.9,2,3,1 star
296,Dr. Dennis John Stapleton,NCH Hospitals;Gulf Coast Medical Center (Fort Myers);,4.603529411764706,11.1,1,1,3 stars
297,Dr. Robert Jay Still,Baptist Medical Center;Flagler Hospital;,4.173033707865169,26.7,2,2,2 stars
299,Dr. Rozales Antonio Swanson,St. Mary's of Michigan - Saginaw;Covenant Medical Center (Saginaw);Bayfront Health Port Charlotte;,4.2,36.2,3,3,1 star
302,Dr. James C. Thornton,Martin Memorial Medical Center;Citrus Memorial Hospital;,5.0,26.4,2,1,3 stars
303,Dr. D. J. Tishko,Mount Carmel Hospital;Baptist Health Medical Center Little Rock;,4.6,34.4,2,1,3 stars
304,Dr. Eric Toloza,H. Lee Moffitt Cancer Center and Research Institute;Duke Raleigh Hospital;,3.4025,24.5,2,3,1 star
305,Dr. Robert Bryce Turnage,Anderson Regional Medical Center;,4.9818181818181815,16.7,1,2,2 stars
306,Dr. Hugh M. Van Gelder,Bayfront Health St. Petersburg;Northside Hospital (St Petersburg);,3.842857142857143,36.1,3,3,1 star
307,Dr. Paul Anthony Vesco,Sarasota Memorial Hospital;The James Cancer Hospital and Solove Research Institute;The Ohio State University Hospital;,4.733653846153846,16.6,1,2,2 stars
308,Dr. Michael J. Wahl,Regional Medical Center Bayonet Point;Oak Hill Hospital;,4.4,27.1,2,3,1 star
310,Dr. Robert L. R. Wesly,North Florida Regional Medical Center;,5.0,48.4,3,1,3 stars
311,Dr. Roy Francis Williams,Mount Sinai Medical Center;,4.6875,28.8,2,2,2 stars
312,Dr. David A. Wyatt,Carilion Roanoke Memorial Hospital;,2.911111111111111,26.5,2,3,1 star
313,Dr. Brian Marcus Bailey,Mercy Hospital Springfield;St. Joseph's Hospital (Savannah);,4.555555555555555,28.1,2,2,2 stars
314,Dr. Paul Bennett Brock,Redmond Regional Medical Center;Floyd Medical Center;,4.0,21.8,2,3,1 star
315,Dr. Henry Belk Brooks,St. Francis Hospital (Columbus);,5.0,14.2,1,1,3 stars
316,Dr. David V. Capallo,St. Joseph's Hospital (Savannah);,4.633333333333334,39.4,3,1,3 stars
317,Dr. Philip William Catalano,Doctors Hospital of Augusta;Augusta University Medical Center;University Hospital (Augusta);,4.5,17.7,2,1,3 stars
318,Dr. Albert S. Chang,Duke Raleigh Hospital;Rex Hospital;WakeMed Raleigh Campus;,4.69344262295082,32.3,2,2,2 stars
319,Dr. Seth Daniel Force,Emory University Hospital;,4.862303664921466,23.5,2,2,2 stars
320,Dr. James L. Foster,The Medical Center of Central Georgia;Coliseum Medical Centers;,4.75,27.1,2,3,1 star
321,Dr. Robert C. Fritz,Gwinnett Medical Center;,4.664705882352941,9.8,1,1,3 stars
322,Dr. Dhru Scott Girard,Redmond Regional Medical Center;Floyd Medical Center;,4.07027027027027,25.1,2,3,1 star
323,Dr. John W. Gouldman,Northside Hospital (Atlanta);Emory St. Joseph's Hospital;,4.039999999999999,25.0,2,2,2 stars
324,Dr. Edward L. Hall,John D. Archbold Memorial Hospital;,4.154166666666666,30.1,2,1,3 stars
325,Dr. John C. Hastings,Northeast Georgia Medical Center;,4.095238095238095,22.9,2,2,2 stars
326,Dr. Gerald Andrew Helms,WellStar Cobb Hospital;Ministry St. Joseph's Hospital;WellStar Kennestone Hospital;,5.0,28.8,2,2,2 stars
327,Dr. Charles W. Holley,Phoebe Putney Memorial Hospital;,4.1,31.6,2,3,1 star
328,Dr. Joe H. Johnson,Coliseum Medical Centers;The Medical Center of Central Georgia;South Georgia Medical Center;,4.11875,30.9,2,3,1 star
329,Dr. Robert E. Jones,Memorial Health University Medical Center;Candler Hospital;St. Joseph's Hospital (Savannah);,3.875,30.7,2,3,1 star
330,Dr. Saeid Khansarinia,Piedmont Hospital;,4.86577896138482,33.6,2,2,2 stars
331,Dr. William Clifford Kitchens,University Hospital (Augusta);,4.5,32.5,2,2,2 stars
332,Dr. William R. Kitchens,University Hospital (Augusta);,4.3,17.1,1,1,3 stars
333,Dr. Jeremy E. London,St. Joseph's Hospital (Savannah);Memorial Health University Medical Center;,4.573214285714286,39.0,3,2,2 stars
334,Dr. Theresa D. Luu,Athens Regional Medical Center;WellStar Kennestone Hospital;,4.8,12.8,1,2,2 stars
335,Dr. Vincent Joseph Maffei,St. Mary's Hospital (Athens);,4.48,32.0,2,1,3 stars
336,Dr. William Rodger Mayfield,WellStar Kennestone Hospital;Piedmont Hospital;,4.6,26.1,2,1,3 stars
337,Dr. Daniel L. Miller,Emory University Hospital;WellStar Kennestone Hospital;,3.025,29.3,2,3,1 star
338,Dr. Jeffrey S. Miller,Emory St. Joseph's Hospital;Northeast Georgia Medical Center;,4.744871794871795,30.8,2,2,2 stars
339,Dr. John Everett Moore,Emory St. Joseph's Hospital;Northside Hospital (Atlanta);,3.885294117647059,42.2,3,3,1 star
340,Dr. Charles Patrick Murrah,Tallahassee Memorial HealthCare;Athens Regional Medical Center;South Georgia Medical Center;Capital Regional Medical Center;,4.378947368421053,17.3,1,2,2 stars
341,Dr. Vijay S. Patel,Augusta University Medical Center;,3.6666666666666665,33.6,2,3,1 star
342,Dr. Laura L. Reed,The Medical Center of Central Georgia;Coliseum Medical Centers;,4.287096774193548,30.4,2,2,2 stars
344,Dr. Walter W. Scott,Southeast Georgia Health System - Brunswick Campus;,4.911111111111111,30.0,2,2,2 stars
345,Dr. Michael Barry Stubbs,DeKalb Medical Center at North Decatur;,3.6666666666666665,26.4,2,3,1 star
346,Dr. Michael A. Watts,University Hospital (Augusta);,4.333333333333333,28.5,2,1,3 stars
347,Dr. Alan Daniel Winston,Northeast Georgia Medical Center;,4.535135135135135,23.6,2,2,2 stars
350,Dr. Robert J. Burnett,Kootenai Medical Center;,3.627777777777778,25.6,2,3,1 star
351,Dr. Stephen M. Fall,St. Alphonsus Regional Medical Center;Penn Highlands DuBois;,4.576470588235294,25.8,2,1,3 stars
354,Dr. Julio Cesar Vasquez,Portneuf Medical Center;,4.942857142857143,20.5,2,2,2 stars
355,Dr. Richard Anderson,OSF St. Francis Medical Center;UnityPoint Health - Methodist;,4.4990625,26.9,2,2,2 stars
357,Dr. Juan Jose Bonilla,Presence Mercy Medical Center;Loyola University Medical Center;Advocate Good Samaritan Hospital;Trinity Medical Center (Moline);Elmhurst Memorial Hospital;Centegra Hospital - McHenry;Edward Hospital;Advocate Lutheran General Hospital;Franciscan St. James Health;Presence Covenant Medical Center;,4.1,27.9,2,2,2 stars
360,Dr. David G. Cable,OSF St. Anthony Medical Center;,4.620118343195267,17.0,1,2,2 stars
361,Dr. Jeffrey P. Christy,HSHS St. John's Hospital;Memorial Medical Center (Springfield);,4.647222222222222,65.6,3,2,2 stars
362,Dr. Michael Colla,Carle Foundation Hospital;,3.8620689655172415,30.6,2,3,1 star
363,Dr. Lynn Scott Cook,Carle Foundation Hospital;,2.8333333333333335,30.9,2,3,1 star
364,Dr. Ronald M. Cossman,Presence Covenant Medical Center;Mercy Hospital St. Louis;,4.91,13.1,1,2,2 stars
365,Dr. Ronald D. Curran,Swedish Covenant Hospital;,5.0,19.4,2,2,2 stars
367,Dr. Michael J. Davalle,"Elmhurst Memorial Hospital;Advocate Good Samaritan Hospital;Edward Hospital;Presence Mercy Medical Center;Presence Resurrection Medical Center;AMITA Adventist Medical Center, La Grange;",4.233333333333333,11.2,1,1,3 stars
368,Dr. Malcolm M. Decamp,Northwestern Memorial Hospital;,4.2,21.0,2,2,2 stars
369,Dr. Marvin J. Derrick,Decatur Memorial Hospital;,4.351162790697675,25.0,2,1,3 stars
370,Dr. Mark Kendric Ferguson,University of Chicago Medical Center;,3.9,34.8,2,2,2 stars
371,Dr. Paul James Gordon,"Advocate Christ Medical Center;Palos Community Hospital;Little Company of Mary Hospital;Advocate Good Shepherd Hospital;AMITA Adventist Medical Center, La Grange;",4.7,21.5,2,2,2 stars
372,Dr. John Gregory Grieco,Advocate Good Samaritan Hospital;Trinity Medical Center (Moline);Edward Hospital;Presence St. Joseph Medical Center;,4.9,19.4,2,1,3 stars
373,Dr. Todd Guynn,Rush-Copley Medical Center;,4.295238095238095,26.1,2,2,2 stars
374,Dr. Stephen R. Hazelrigg,Memorial Medical Center (Springfield);HSHS St. John's Hospital;,4.5765957446808505,24.4,2,1,3 stars
375,Dr. Thomas J. Hinkamp,Centegra Hospital - McHenry;Presence Resurrection Medical Center;Trinity Medical Center (Moline);Advocate Good Samaritan Hospital;Elmhurst Memorial Hospital;Presence Mercy Medical Center;Edward Hospital;,4.0,17.4,1,3,1 star
376,Dr. Vu T. Hoang,Grand Strand Medical Center;Overlake Hospital Medical Center;Advocate Sherman Hospital;Northwest Community Hospital;Presence St. Joseph Hospital (Elgin);,4.5680000000000005,29.1,2,2,2 stars
377,Dr. James B. Kase,Blessing Hospital;,3.0,29.5,2,3,1 star
379,Dr. John J. Klosak,Trinity Medical Center (Moline);Genesis Medical Center;,4.552941176470589,22.6,2,1,3 stars
380,Dr. Robert Gerard Kummerer,Advocate Condell Medical Center;Advocate Good Shepherd Hospital;Wheaton Franciscan Healthcare All Saints;,3.4,25.4,2,3,1 star
381,Dr. Michael Justin Liptay,Rush University Medical Center;Skokie Hospital;NorthShore University Health System;,4.904137931034483,24.6,2,2,2 stars
382,Dr. Robert B. Love,Loyola University Medical Center;Froedtert Hospital;,4.1881355932203395,37.2,3,2,2 stars
384,Dr. Shari Lynn Meyerson,Northwestern Memorial Hospital;Banner-University Medical Center;,5.0,21.8,2,2,2 stars
385,Dr. Dale Mueller,OSF St. Francis Medical Center;UnityPoint Health - Proctor;UnityPoint Health - Methodist;,4.5,38.2,3,2,2 stars
386,Dr. John Carlton Myers,Swedish American Hospital;,5.0,29.6,2,1,3 stars
387,Dr. Sammy Issa Nawas,Palos Community Hospital;Advocate Christ Medical Center;Little Company of Mary Hospital;,4.3,23.0,2,3,1 star
388,Dr. Francis J. Podbielski,Beth Israel Deaconess Hospital Plymouth;UMass Memorial Medical Center;Mercy Medical Center (Springfield);,4.196296296296296,18.5,2,3,1 star
389,Dr. William Fred Polito,Presence Resurrection Medical Center;Community First Medical Center;Northwest Community Hospital;,3.8,21.1,2,3,1 star
391,Dr. William G. Pyle,Memorial Medical Center (Springfield);HSHS St. John's Hospital;Memorial Hospital of Carbondale;,4.454545454545454,25.0,2,1,3 stars
395,Dr. Jeffrey Mark Silver,Presence Resurrection Medical Center;Northwest Community Hospital;Community First Medical Center;,4.273529411764706,31.0,2,3,1 star
397,Dr. Cynthia N. Steimle,Advocate Sherman Hospital;Presence St. Joseph Hospital (Elgin);Delnor Hospital;Central DuPage Hospital;,4.194117647058824,17.6,2,2,2 stars
398,Dr. William S. Stevens,HSHS St. John's Hospital;Memorial Medical Center (Springfield);,4.68,16.6,1,1,3 stars
399,Dr. Lambros Tsonis,Elmhurst Memorial Hospital;Loyola University Medical Center;Presence Resurrection Medical Center;Centegra Hospital - McHenry;Community First Medical Center;MacNeal Hospital;,4.7,43.1,3,2,2 stars
401,Dr. Timothy Vale Votapka,Advocate Good Shepherd Hospital;Advocate Christ Medical Center;United Hospital (Kenosha);Advocate Condell Medical Center;Advocate Sherman Hospital;,3.372727272727273,28.1,2,3,1 star
404,Dr. Anthony J. Ascioti,St. Vincent Hospital (Indianapolis);,3.9647058823529413,22.1,2,3,1 star
405,Dr. Elizabeth M. Ashworth,Hays Medical Center;Columbus Regional Hospital;,4.380952380952381,23.7,2,2,2 stars
406,Dr. Andrew R. Barksdale,Fransiscan St. Francis Health Indianapolis;The Community Hospital;Franciscan St. James Health;St. Catherine Hospital (East Chicago);,4.475,24.9,2,2,2 stars
407,Dr. Daniel J. Beckman,IU Health University Hospital;,4.686419753086419,31.6,2,1,3 stars
409,Dr. Bradford Blakeman,The Community Hospital;Franciscan St. James Health;St. Mary Medical Center (Hobart);St. Catherine Hospital (East Chicago);,4.167105263157895,8.6,1,1,3 stars
410,Dr. Elizabeth G. Butler,St. Mary's Medical Center (Evansville);,3.4,31.8,2,3,1 star
411,Dr. Glenn N. Carlos,St. Mary Medical Center (Hobart);IU Health Ball Memorial Hospital;Methodist Hospitals;,4.101219512195122,28.5,2,3,1 star
414,Dr. Richard Kent Freeman,St. Vincent Hospital (Indianapolis);,4.7,28.2,2,2,2 stars
415,Dr. Douglas L. Gray,Parkview Regional Medical Center;,3.9818181818181815,38.4,3,3,1 star
416,Dr. Walter Henry Halloran,Elkhart General Hospital;Saint Joseph Regional Medical Center;Memorial Hospital of South Bend;,3.8999999999999995,27.8,2,3,1 star
417,Dr. David Andrew Hormuth,IU Health University Hospital;,5.0,28.4,2,1,3 stars
419,Dr. Kenneth Allen Kesler,IU Health University Hospital;,4.7,22.7,2,1,3 stars
420,Dr. John F. Kuhn,Reid Hospital;,4.288888888888889,22.5,2,2,2 stars
425,Dr. Manesh Parikshak,Fransiscan St. Francis Health Indianapolis;Blessing Hospital;,3.9466666666666668,21.1,2,3,1 star
426,Dr. Alan C. Peterson,Lutheran Hospital of Indiana;,4.581818181818182,15.3,1,1,3 stars
427,Dr. Karen Rieger,IU Health University Hospital;,4.773529411764706,20.1,2,2,2 stars
430,Dr. Michael Frederick Steinberg,Memorial Hospital of South Bend;Elkhart General Hospital;Saint Joseph Regional Medical Center;,3.6,25.2,2,3,1 star
431,Dr. John H. Storey,Community Heart and Vascular Hospital;Community Hospital North;,4.757553956834532,27.4,2,2,2 stars
432,Dr. James M. Van Daalen,Clark Memorial Hospital;Norton Healthcare;Baptist Health Louisville;,4.714285714285714,33.2,2,1,3 stars
433,Dr. Lee S. Wagmeister,The Heart Hospital at Deaconess Gateway;Deaconess Hospital (Newburgh);St. Mary's Medical Center (Evansville);,4.562814070351759,17.6,2,2,2 stars
434,Dr. Mir Wasif Ali,St. Luke's Hospital (Cedar Rapids);Mercy Medical Center - Cedar Rapids;Mercy Hospital of Iowa City;,4.125,30.5,2,2,2 stars
435,Dr. James Michael Levett,St. Luke's Hospital (Cedar Rapids);Mercy Medical Center - Cedar Rapids;Mercy Hospital of Iowa City;,4.4,18.7,2,1,3 stars
436,Dr. Joseph A. Morris,St. Luke's Regional Medical Center;Mercy Medical Center - Sioux City;,3.944,11.4,1,2,2 stars
437,Dr. Michael J. Niehaus,Great River Medical Center;,4.317777777777778,20.4,2,2,2 stars
441,Dr. Brian Keith Rundall,Eastern Idaho Regional Medical Center;Iowa Methodist Medical Center;,5.0,28.4,2,2,2 stars
442,Dr. Mark Taylor,Mary Greeley Medical Center;,4.4,23.9,2,2,2 stars
443,Dr. Kent C. Thieman,Iowa Methodist Medical Center;Iowa Lutheran Hospital;,5.0,15.8,1,1,3 stars
446,Dr. Keith Blaine Allen,Saint Luke's Hospital of Kansas City;North Kansas City Hospital;,3.8461538461538463,34.0,2,3,1 star
449,Dr. Thomas H. Estep,Wesley Medical Center;Kansas Heart Hospital;Via Christi Hospital;,5.0,24.0,2,1,3 stars
450,Dr. Robert H. Fleming,Kansas Medical Center;Hutchinson Regional Medical Center;Hays Medical Center;Via Christi Hospital;,3.6750000000000003,47.6,3,3,1 star
454,Dr. David W. Lutes,Stormont-Vail Regional Health Center;,5.0,18.4,2,2,2 stars
455,Dr. James Edwin Miller,Olathe Medical Center;,4.553488372093024,15.0,1,1,3 stars
457,Dr. Prem Kumar Samuel,Lee's Summit Medical Center;Menorah Medical Center;Centerpoint Medical Center;Overland Park Regional Medical Center;St. Joseph Medical Center (Kansas City);,4.5,19.4,2,2,2 stars
458,Dr. Peter J. Tutuska,Stormont-Vail Regional Health Center;,4.757692307692308,19.2,2,1,3 stars
459,Dr. Robert Douglas Adams,Owensboro Health;,4.64,42.2,3,2,2 stars
460,Dr. Roy Glenn Bowling,Jewish Hospital/Sts. Mary and Elizabeth Hospital;Norton Healthcare;,3.0799999999999996,22.6,2,3,1 star
461,Dr. Eric Hunter Bronstein,King's Daughters Medical Center (Ashland);St. Joseph's Regional Medical Center;,4.2,34.3,2,3,1 star
462,Dr. Royce Ford Calhoun,UC Davis Medical Center;Fremont Medical Center/Rideout Memorial Hospital;,3.1,29.7,2,3,1 star
464,Dr. Wilson Monroe Clements,St. Elizabeth;Central Baptist Hospital;,4.27719298245614,31.5,2,2,2 stars
466,Dr. Richard D. Floyd,Saint Joseph Hospital (Lexington);,3.5,34.7,2,3,1 star
467,Dr. Robert T. Fried,King's Daughters Medical Center (Ashland);,3.5388888888888888,38.2,3,3,1 star
468,Dr. Vanessa R. Gibson,Upstate University Hospital;,4.396551724137931,26.7,2,2,2 stars
469,Dr. Dennis Havens,Pikeville Medical Center;,4.5588235294117645,34.7,2,1,3 stars
470,Dr. Richard J. Heuer,Lake Cumberland Regional Hospital;,4.452325581395349,42.2,3,3,1 star
473,Dr. Robert B. Lee,Maury Regional Hospital;St. Dominic-Jackson Memorial Hospital;Lourdes Hospital - Paducah;Central Mississippi Medical Center;,3.905263157894737,22.5,2,3,1 star
474,Dr. Robert William Linker,Baptist Health Louisville;,4.538461538461538,25.1,2,1,3 stars
475,Dr. James P. Locher,UnityPoint Health - Methodist;OSF St. Anthony Medical Center;,5.0,19.0,2,2,2 stars
477,Dr. George J. Mikos,Norton Healthcare;,4.446341463414634,24.8,2,2,2 stars
479,Dr. Hamid R. Mohammadzadeh,Saint Joseph Hospital (Lexington);,4.444444444444445,31.3,2,2,2 stars
480,Dr. Paul M. Moore,The Medical Center (Bowling Green);,4.3500000000000005,32.6,2,2,2 stars
481,Dr. Timothy Mullett,UK HealthCare;,5.0,25.9,2,1,3 stars
482,Dr. James P. O'Rourke,Lourdes Hospital - Paducah;Baptist Health Paducah;,4.64,25.1,2,1,3 stars
483,Dr. Anthony G. Rogers,Central Baptist Hospital;Saint Joseph Hospital (Lexington);,3.746666666666667,29.1,2,3,1 star
484,Dr. Sibu Saha,UK HealthCare;,4.105263157894737,26.5,2,1,3 stars
485,Dr. Robert K. Salley,Saint Joseph Hospital (Lexington);,4.537333333333334,22.3,2,1,3 stars
486,Dr. Michael E. Sekela,Saint Joseph Hospital (Lexington);UK HealthCare;,4.466666666666667,18.7,2,1,3 stars
487,Dr. T. Mark Stanfield,Baptist Health Madisonville;,3.825925925925926,28.0,2,3,1 star
488,Dr. Sidney Donald Trogdon,St. Elizabeth;St. Elizabeth Florence;,4.865957446808511,52.7,3,2,2 stars
489,Dr. Keung Ung,Baptist Health Paducah;,4.6838235294117645,14.1,1,2,2 stars
490,Dr. Victor Henry Vanberkel,Jewish Hospital/Sts. Mary and Elizabeth Hospital;University of Louisville Hospital;Norton Healthcare;,5.0,24.5,2,2,2 stars
492,Dr. Blaine Mcdermott Borders,Glenwood Regional Medical Center;St. Francis Medical Center (Monroe);,4.7,49.5,3,2,2 stars
493,Dr. John Richard Breaux,Louisiana Medical Center and Heart Hospital;Slidell Memorial Hospital;,4.444642857142857,10.7,1,2,2 stars
495,Dr. Richard M. Dearman,Heart Hospital of Lafayette;Lafayette General Medical Center;Our Lady of Lourdes Regional Medical Center;Terrebonne General Medical Center;,5.0,40.6,3,1,3 stars
496,Dr. Robert Chance Dewitt,CHRISTUS St. Frances Cabrini Hospital;Rapides Regional Medical Center;Southwest Mississippi Regional Medical Center;,5.0,22.0,2,2,2 stars
497,Dr. Charles J. Dicorte,North Oaks Medical Center;St. Tammany Parish Hospital;Lakeview Regional Medical Center;,4.902564102564102,26.6,2,2,2 stars
498,Dr. Brian L. Dockendorf,CHRISTUS Schumpert;Willis-Knighton Medical Center;,3.8060606060606057,17.5,1,3,1 star
499,Dr. Tommie Mack Granger,Rapides Regional Medical Center;,4.070588235294117,34.6,2,3,1 star
500,Dr. David P. Hamm,Willis-Knighton Medical Center;,4.324999999999999,26.4,2,1,3 stars
501,Dr. Steven C. Howe,Lake Charles Memorial Hospital;CHRISTUS St. Patrick Hosptial;,4.548275862068965,44.1,3,2,2 stars
502,Dr. Johnny Perez,Thibodaux Regional Medical Center;,4.578181818181818,28.7,2,2,2 stars
503,Dr. Brian Lamar Pettiford,WellSpan York Hospital;,4.641379310344828,35.7,3,2,2 stars
504,Dr. Victor E. Tedesco,Heart Hospital of Lafayette;Lafayette General Medical Center;Our Lady of Lourdes Regional Medical Center;Terrebonne General Medical Center;,4.9529411764705875,21.0,2,2,2 stars
505,Dr. Robert Scott Thurston,Our Lady of the Lake Regional Medical Center;Baton Rouge General Medical Center;Ochsner Medical Center - Baton Rouge;,5.0,21.2,2,1,3 stars
506,Dr. Robert Keith White,St. Francis Medical Center (Monroe);,4.278723404255319,33.1,2,2,2 stars
507,Dr. Seth D. Blank,Maine Medical Center;Mercy Hospital (Portland);,5.0,24.7,2,1,3 stars
508,Dr. Tammy Lynn Gleeson,Bronson Battle Creek;Oaklawn Hospital;,4.827906976744186,35.3,2,2,2 stars
510,Dr. John Dean Klemperer,Eastern Maine Medical Center;,5.0,30.7,2,2,2 stars
511,Dr. Philip T. Peverada,MaineGeneral Medical Center;Eastern Maine Medical Center;,5.0,27.7,2,1,3 stars
512,Dr. Tracey L. Weigel,UW Hospital and Clinics;Maine Medical Center;,4.851219512195122,24.2,2,2,2 stars
515,Dr. Whitney Burrows,University of Maryland Medical Center;,4.3375,20.0,2,2,2 stars
516,Dr. Shamus Russell Carr,University of Utah Hospital;,5.0,20.3,2,2,2 stars
517,Dr. Stephen Michael Cattaneo,Anne Arundel Medical Center;,4.691703056768559,24.1,2,2,2 stars
518,Dr. Neri M. Cohen,Greater Baltimore Medical Center;St. Agnes Hospital (Baltimore);,3.1057142857142854,35.9,3,3,1 star
519,Dr. Philip Charles Corcoran,Suburban Hospital;,4.490476190476191,17.5,1,2,2 stars
520,Dr. Ziv Gamliel,University of Maryland St. Joseph Medical Center;,4.886842105263159,16.4,1,2,2 stars
521,Dr. Robert Gordon,Carroll Hospital Center;Howard County General Hospital;,4.619130434782609,14.9,1,1,3 stars
523,Dr. Richard F. Heitmiller,Union Memorial Hospital;,4.6571428571428575,25.3,2,1,3 stars
524,Dr. Gavin L. Henry,St. Agnes Hospital (Baltimore);Mercy Medical Center (Baltimore);Howard County General Hospital;,4.8,27.0,2,2,2 stars
525,Dr. Riny Albair Karras,St. Agnes Hospital (Baltimore);Mercy Medical Center (Baltimore);,5.0,30.1,2,2,2 stars
526,Dr. Barry Jay Levin,Shady Grove Adventist Hospital;Suburban Hospital;Holy Cross Hospital (Silver Spring);,4.3,19.4,2,1,3 stars
527,Dr. Avedis Meneshian,The Johns Hopkins Hospital;Anne Arundel Medical Center;Johns Hopkins Bayview Medical Center;,4.809649122807017,23.8,2,2,2 stars
528,Dr. Mark G. Nelson,Western Maryland Regional Medical Center;,4.675,18.7,2,2,2 stars
529,Dr. Nicholas Lee Ogburn,Peninsula Regional Medical Center;,4.333333333333333,6.8,1,1,3 stars
530,Dr. Galen Anthony Ohnmacht,Baltimore Washington Medical Center;,4.5,28.2,2,2,2 stars
531,Dr. Lynne Ann Skaryak,Union Memorial Hospital;,5.0,31.9,2,2,2 stars
532,Dr. Mark Steven Soberman,MedStar Washington Hospital Center;Frederick Memorial Hospital;,4.2,16.7,1,3,1 star
533,Dr. Bryan M. Steinberg,Washington Adventist Hospital;Holy Cross Hospital (Silver Spring);Doctors Community Hospital;,3.9764705882352938,28.0,2,3,1 star
534,Dr. Mark F. Sullivan,Meritus Medical Center;,4.2,23.8,2,2,2 stars
535,Dr. James Cecil Todd,Peninsula Regional Medical Center;,3.7000000000000006,6.6,1,3,1 star
536,Dr. Kurt Emil Wehberg,Peninsula Regional Medical Center;,4.5,25.8,2,2,2 stars
538,Dr. James Stuart Allan,North Shore Medical Center (Salem);Wentworth-Douglass Hospital;Massachusetts General Hospital;,4.3,22.6,2,2,2 stars
539,Dr. Timothy Michael Anderson,Sturdy Memorial Hospital;MetroWest Medical Center;,3.3333333333333335,35.4,3,3,1 star
540,Dr. Bruce W. Barlam,Lahey Health;North Shore Medical Center (Salem);,4.495238095238095,27.7,2,1,3 stars
541,Dr. Laurence H. Brinckerhoff,Tufts Medical Center;,4.6923076923076925,28.8,2,2,2 stars
542,Dr. Raphael Bueno,Brigham and Women's Hospital;,4.8,28.3,2,1,3 stars
544,Dr. Neal Chuang,Mercy Medical Center (Springfield);,3.816666666666666,35.9,3,3,1 star
545,Dr. Michael C. Coello,Beaumont Hospital Royal Oak;St. John Hospital and Medical Center;,4.802654867256638,34.9,2,2,2 stars
546,Dr. Yolonda Lorig Colson,Brigham and Women's Hospital;,4.482608695652174,24.2,2,2,2 stars
547,Dr. Christopher Cua,MetroWest Medical Center;,3.4200000000000004,22.4,2,3,1 star
548,Dr. Dean Michael Donahue,Massachusetts General Hospital;North Shore Medical Center (Salem);,4.37125748502994,19.9,2,2,2 stars
549,Dr. Christopher Thomas Ducko,South Shore Hospital;Brigham and Women's Hospital;,4.690291262135923,24.8,2,2,2 stars
551,Dr. Torin Patrick Fitton,Lahey Hospital and Medical Center;,4.7375,23.2,2,2,2 stars
553,Dr. Christian R. Galvez-Padilla,Berkshire Medical Center;,4.0321428571428575,23.8,2,3,1 star
554,Dr. Sidharta P. Gangadharan,Beth Israel Deaconess Medical Center;,4.755000000000001,17.2,1,2,2 stars
556,Dr. Geoffrey M. Graeber,UMass Memorial Medical Center;,4.4,30.4,2,1,3 stars
557,Dr. Gary M. Hochheiser,Baystate Medical Center;,4.810526315789474,20.9,2,2,2 stars
558,Dr. Michael T. Jaklitsch,Brigham and Women's Hospital;South Shore Hospital;,4.9,17.3,1,1,3 stars
559,Dr. Michael Stephen Kent,Cooper University Hospital;,3.193333333333334,40.2,3,3,1 star
560,Dr. Michael Lanuti,Massachusetts General Hospital;Newton-Wellesley Hospital;,4.741176470588235,15.8,1,2,2 stars
562,Dr. Walter J. Lech,Steward Good Samaritan Medical Center;,3.9,28.1,2,3,1 star
563,Dr. Virginia R. Litle,Strong Memorial Hospital of the University of Rochester;Boston Medical Center;,5.0,15.3,1,2,2 stars
564,Dr. Jeanne M. Lukanich,Baystate Medical Center;,5.0,21.8,2,2,2 stars
566,Dr. Douglas James Mathisen,Massachusetts General Hospital;,4.6,29.2,2,1,3 stars
567,Dr. Ciaran J. Mcnamee,Milford Regional Medical Center;Brigham and Women's Hospital;,4.670731707317073,33.8,2,1,3 stars
568,Dr. Steven James Mentzer,Brigham and Women's Hospital;,4.9,20.7,2,1,3 stars
570,Dr. Christopher R. Morse,Massachusetts General Hospital;North Shore Medical Center (Salem);,4.516901408450704,27.5,2,2,2 stars
572,Dr. Ashok Muniappan,Massachusetts General Hospital;,4.16969696969697,27.2,2,2,2 stars
574,Dr. Keshaudas Pahuja,Steward Good Samaritan Medical Center;Signature Healthcare Brockton Hospital;,3.8276923076923075,28.7,2,3,1 star
