,Hospital,City,State,ZIP Code,Score,Score URL
389,Brandon Regional Hospital,Brandon,FL,33511-5779,28.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
390,Coral Gables Hospital,Coral Gables,FL,33134-6914,27.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
391,Fawcett Memorial Hospital,Port Charlotte,FL,33952-6765,26.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
392,Oak Hill Hospital,Brooksville,FL,34613-5409,26.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
393,Orange Park Medical Center,Orange Park,FL,32073-5156,25.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
394,Parrish Medical Center,Titusville,FL,32796-2163,23.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
395,St. Petersburg General Hospital,Saint Petersburg,FL,33710-1629,23.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
396,Largo Medical Center,Largo,FL,33770-3133,22.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
397,Lawnwood Regional Medical Center and Heart Institute,Fort Pierce,FL,34950-4803,22.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
398,Ocala Regional Medical Center,Ocala,FL,34471-6500,22.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
399,Fort Walton Beach Medical Center,Fort Walton Beach,FL,32547-6795,21.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
400,Good Samaritan Medical Center (West Palm Beach),West Palm Beach,FL,33401-3499,21.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
401,Osceola Regional Medical Center,Kissimmee,FL,34741-4996,21.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
402,JFK Medical Center,Atlantis,FL,33462-1197,20.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
403,Medical Center of Trinity,Trinity,FL,34655-1808,19.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
404,Palmetto General Hospital,Hialeah,FL,33016-1898,17.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
405,Citrus Memorial Hospital,Inverness,FL,34452-4754,17.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
406,North Shore Medical Center-Miami,Miami,FL,33150-2098,16.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
407,Manatee Memorial Hospital,Bradenton,FL,34208-1000,14.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
408,Emory St. Joseph's Hospital,Atlanta,GA,30342-1701,68.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
409,Emory University Hospital,Atlanta,GA,30322,64.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
410,Northeast Georgia Medical Center,Gainesville,GA,30501-3899,63.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
411,Athens Regional Medical Center,Athens,GA,30606-2797,58.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
412,Memorial Health University Medical Center,Savannah,GA,31404-6283,57.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
413,Piedmont Hospital,Atlanta,GA,30309-1281,55.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
414,Gwinnett Medical Center,Lawrenceville,GA,30046-7694,54.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
415,Piedmont Fayette Hospital,Fayetteville,GA,30214-4526,54.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
416,John D. Archbold Memorial Hospital,Thomasville,GA,31792-6614,53.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
417,Emory University Hospital Midtown,Atlanta,GA,30308-2247,53.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
418,WellStar Douglas Hospital,Douglasville,GA,30134-2282,52.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
419,Northside Hospital (Atlanta),Atlanta,GA,30342-1611,52.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
420,WellStar Paulding Hospital,Hiram,GA,30141,52.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
421,St. Joseph's Hospital (Savannah),Savannah,GA,31419-1791,52.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
422,West Georgia Medical Center,Lagrange,GA,30240-4131,51.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
423,Augusta University Medical Center,Augusta,GA,30912-0004,50.5,/best-hospitals/area/co/national-jewish-health-6840315
424,Emory Johns Creek Hospital,Johns Creek,GA,30097-5775,50.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
425,Piedmont Newnan Hospital,Newnan,GA,30265-1618,50.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
426,Candler Hospital,Savannah,GA,31405-6015,49.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
427,Northside Hospital - Forsyth,Cumming,GA,30041-7659,47.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
428,WellStar Kennestone Hospital,Marietta,GA,30060-1148,47.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
429,University Hospital (Augusta),Augusta,GA,30901-2629,45.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
430,Tift Regional Medical Center,Tifton,GA,31794-3648,43.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
431,Grady Memorial Hospital (Atlanta),Atlanta,GA,30303-3031,43.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
432,Floyd Medical Center,Rome,GA,30165-5621,42.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
433,Navicent Health Medical Center,Macon,GA,31201-2155,42.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
434,Atlanta Medical Center,Atlanta,GA,30312-1212,41.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
435,Gordon Hospital,Calhoun,GA,30701-2082,41.5,/best-hospitals/area/co/national-jewish-health-6840315/pulm
436,Northside Hospital - Cherokee,Canton,GA,30115-8015,39.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
437,WellStar North Fulton Hospital,Roswell,GA,30076-3899,39.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
438,St. Mary's Hospital (Athens),Athens,GA,30606-3791,39.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
439,Hamilton Medical Center,Dalton,GA,30720-2529,37.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
440,Piedmont Henry Hospital,Stockbridge,GA,30281-5099,37.5,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
441,Redmond Regional Medical Center,Rome,GA,30165-1415,36.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
442,Phoebe Putney Memorial Hospital,Albany,GA,31701-1943,35.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
443,Spalding Regional Hospital,Griffin,GA,30224-4294,34.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
444,The Medical Center (Columbus),Columbus,GA,31901-1527,33.9,/best-hospitals/area/co/national-jewish-health-6840315/pul
445,Southeast Georgia Health System - Brunswick Campus,Brunswick,GA,31520-4722,32.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
446,Tanner Medical Center - Carrollton,Carrollton,GA,30117-3818,32.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
447,WellStar Cobb Hospital,Austell,GA,30106-1121,31.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
448,St. Francis Hospital (Columbus),Columbus,GA,31904-6878,30.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
449,Eastside Medical Center,Snellville,GA,30078-2195,29.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
450,Rockdale Medical Center,Conyers,GA,30012-3877,28.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
451,South Georgia Medical Center,Valdosta,GA,31602-1735,27.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
452,Doctors Hospital of Augusta,Augusta,GA,30909-6426,26.5,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
453,Memorial Satilla Health-Waycross,Waycross,GA,31501-6357,20.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
454,Southern Regional Medical Center,Riverdale,GA,30274-2615,19.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
455,Coliseum Medical Centers,Macon,GA,31217-3871,16.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
456,DeKalb Medical Center at North Decatur,Decatur,GA,30033-5995,14.0,/best-hospitals/area/co/national-jewish-health-6840315/pul
457,Queen's Medical Center,Honolulu,HI,96813-2499,69.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
458,Kaiser Permanente Moanalua Medical Center,Honolulu,HI,96819-1469,63.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0"
459,Straub Clinic and Hospital,Honolulu,HI,96813-3097,63.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
460,Kuakini Medical Center,Honolulu,HI,96817-2381,58.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
461,Adventist Health Castle,Kailua,HI,96734-4454,57.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
462,Pali Momi Medical Center,Aiea,HI,96701-4713,55.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
463,Maui Memorial Medical Center,Wailuku,HI,96793-2581,39.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
464,Hilo Medical Center,Hilo,HI,96720-2089,38.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
465,St. Luke's Regional Medical Center,Boise,ID,83712-6241,76.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
466,Portneuf Medical Center,Pocatello,ID,83201-5175,58.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
467,St. Luke's Magic Valley Medical Center,Twin Falls,ID,83301-5810,58.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
468,St. Alphonsus Regional Medical Center,Boise,ID,83706-1309,56.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
469,St. Alphonsus Medical Center-Nampa,Nampa,ID,83686-6008,55.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
470,Kootenai Medical Center,Coeur D'Alene,ID,83814-2677,53.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
471,Eastern Idaho Regional Medical Center,Idaho Falls,ID,83404-7533,33.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
472,Northwestern Memorial Hospital,Chicago,IL,60611-2908,77.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
473,OSF St. Francis Medical Center,Peoria,IL,61637-0001,70.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
474,Presence Saints Mary and Elizabeth Medical Center,Chicago,IL,60622-3086,67.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" p"
475,Loyola University Medical Center,Maywood,IL,60153-3328,67.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
476,Northwestern Lake Forest Hospital,Lake Forest,IL,60045-1696,66.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
477,NorthShore University Health System,Evanston,IL,60201-1613,66.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
478,Advocate Good Samaritan Hospital,Downers Grove,IL,60515-1590,65.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
479,Advocate Lutheran General Hospital,Park Ridge,IL,60068-1174,65.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
480,Edward Hospital,Naperville,IL,60540-7499,65.0,/best-hospitals/area/co/national-jewish-health-6840315/pulm
481,University of Chicago Medical Center,Chicago,IL,60637-1443,64.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
482,Rush University Medical Center,Chicago,IL,60612-3833,63.2,"racking-id=""scorecard-specialty-click"" href=""/best-hospitals/a"
483,Carle Foundation Hospital,Urbana,IL,61801-2529,62.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
484,Advocate Christ Medical Center,Oak Lawn,IL,60453-2699,61.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
485,Elmhurst Memorial Hospital,Elmhurst,IL,60126-5658,60.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
486,Advocate Sherman Hospital,Elgin,IL,60123-2300,60.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
487,Advocate BroMenn Medical Center,Normal,IL,61761-3558,60.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
488,"AMITA Adventist Medical Center, Hinsdale",Hinsdale,IL,60521-3890,60.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
489,Central DuPage Hospital,Winfield,IL,60190,59.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
490,Riverside Medical Center(Kankakee),Kankakee,IL,60901-2901,59.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
491,"AMITA Health Alexian Brothers Medical Center, Elk Grove Village",Elk Grove Village,IL,60007-3397,59.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
492,Memorial Hospital (Belleville),Belleville,IL,62226-5399,58.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
493,Delnor Hospital,Geneva,IL,60134-4200,58.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
494,UnityPoint Health - Methodist,Peoria,IL,61636-4310,57.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
495,Advocate Good Shepherd Hospital,Barrington,IL,60010-1919,57.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
496,Memorial Medical Center (Springfield),Springfield,IL,62781-0001,57.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
497,OSF St. Anthony Medical Center,Rockford,IL,61108-2425,57.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
498,Presence St. Joseph Medical Center,Joliet,IL,60435-8200,56.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
499,OSF St. Joseph Medical Center,Bloomington,IL,61701-4323,56.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
500,Mercy Health,Rockford,IL,61103-3655,56.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
501,Centegra Hospital - McHenry,McHenry,IL,60050-8409,56.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
502,Advocate Condell Medical Center,Libertyville,IL,60048-3199,54.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
503,SSM Health St. Mary's Hospital Centralia,Centralia,IL,62801-3056,53.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
504,"AMITA Adventist Medical Center, La Grange",La Grange,IL,60525-2600,53.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
505,Northwest Community Hospital,Arlington Heights,IL,60005-2392,52.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
506,Swedish Covenant Hospital,Chicago,IL,60625-3661,52.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
507,SMS Health Good Samaritan - Mount Vernon,Mount Vernon,IL,62864-2899,52.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
508,HSHS St. John's Hospital,Springfield,IL,62769-0002,51.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
509,Passavant Area Hospital,Jacksonville,IL,62650-1136,51.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
510,UnityPoint Health-Trinity Rock Island,Rock Island,IL,61201-5393,50.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
511,Blessing Hospital,Quincy,IL,62305-7005,50.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
512,Alton Memorial Hospital,Alton,IL,62002-6722,50.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
513,Gottlieb Memorial Hospital,Melrose Park,IL,60160-1612,50.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
514,Sarah Bush Lincoln Health Center,Mattoon,IL,61938-9253,50.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
515,Presence Resurrection Medical Center,Chicago,IL,60631-3746,49.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
516,Amita Health Adventist Medical Center Bolingbrook,Bolingbrook,IL,60440-4906,48.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
517,Swedish American Hospital,Rockford,IL,61104-2315,48.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
518,Advocate Trinity Hospital,Chicago,IL,60617-3909,48.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
519,Presence St. Francis Hospital,Evanston,IL,60202-3399,47.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
520,OSF Sacred Heart Medical Center,Danville,IL,61832-3788,47.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0"
521,Presence St. Mary's Hospital,Kankakee,IL,60901-3661,47.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
522,Mercy Hospital and Medical Center,Chicago,IL,60616-2333,46.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
523,Amita Health Hoffman Estates,Hoffman Estates,IL,60169-1019,45.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
524,St. Elizabeth's Hospital,O'Fallon,IL,62269,45.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
525,Amita Health St. Joseph Hospital Chicago,Chicago,IL,60657-6274,45.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
526,HSHS St. Mary's Hospital,Decatur,IL,62521-3883,44.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
527,Rush-Copley Medical Center,Aurora,IL,60504-7222,43.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
528,Advocate South Suburban Hospital,Hazel Crest,IL,60429-0989,43.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
529,HSHS St. Anthony's Memorial Hospital,Effingham,IL,62401-2099,42.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
530,Morris Hospital and Healthcare Centers,Morris,IL,60450-1497,42.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
531,Genesis Medical Center-Silvis,Silvis,IL,61282-1893,42.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
532,Decatur Memorial Hospital,Decatur,IL,62526-4192,41.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
533,Silver Cross Hospital,New Lenox,IL,60451-9509,41.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
534,Vista Medical Center East,Waukegan,IL,60085-2161,41.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
535,OSF St. Mary Medical Center,Urbana,IL,61801-2396,40.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
536,Little Company of Mary Hospital,Evergreen Park,IL,60805-2795,40.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
537,Presence Mercy Medical Center,Aurora,IL,60506-1449,39.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
538,UnityPoint Health-Proctor,Peoria,IL,61614-5069,38.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
539,FHN Memorial Hospital,Freeport,IL,61032-4899,38.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
540,MacNeal Hospital,Berwyn,IL,60402-0715,37.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
541,Memorial Hospital of Carbondale,Carbondale,IL,62901-1467,37.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
542,Holy Cross Hospital-Chicago,Chicago,IL,60629-1882,37.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
543,Anderson Hospital,Maryville,IL,62062-8500,36.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
544,Ingalls Memorial Hospital,Harvey,IL,60426-3591,36.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
545,Herrin Hospital,Herrin,IL,62948-3631,34.9,/best-hospitals/area/co/national-jewish-health-6840315/pulm
546,Palos Community Hospital,Palos Heights,IL,60463-0930,33.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
547,MetroSouth Medical Center,Blue Island,IL,60406-2470,31.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
548,Franciscan Health Olympia Fields,Olympia Fields,IL,60461-1010,30.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
549,Community First Medical Center,Chicago,IL,60634-4403,22.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" prefix="
550,IU Health West Hospital,Avon,IN,46123-7085,66.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
551,IU Health University Hospital,Indianapolis,IN,46202-5149,64.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
552,Goshen Hospital,Goshen,IN,46526-4899,61.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
553,Deaconess Hospital,Evansville,IN,47710-1658,59.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
554,St. Vincent Hospital (Indianapolis),Indianapolis,IN,46260-1991,59.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
555,IU Health Ball Memorial Hospital,Muncie,IN,47303-3499,59.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
556,IU Health Bloomington Hospital,Bloomington,IN,47403-2317,58.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
557,IU Health Arnett Hospital,Lafayette,IN,47905-8764,58.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
558,Eskenazi Health-Indianapolis,Indianapolis,IN,46202,55.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
559,Reid Hospital,Richmond,IN,47374-1157,54.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
560,Parkview Regional Medical Center,Fort Wayne,IN,46845-1701,53.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
561,Memorial Hospital of South Bend,South Bend,IN,46601-1033,51.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
562,Hendricks Regional Health,Danville,IN,46122-1948,50.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
563,Franciscan St. Elizabeth Health - Lafayette East,Lafayette,IN,47905-4972,48.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" "
564,St. Mary Medical Center (Hobart),Hobart,IN,46342-6699,48.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
565,Columbus Regional Hospital,Columbus,IN,47201-5360,47.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
566,Elkhart General Hospital,Elkhart,IN,46514-2499,47.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
567,Community Hospital Anderson,Anderson,IN,46011-3453,46.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
568,King's Daughters' Health-Madison,Madison,IN,47250-3357,46.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
569,Good Samaritan Hospital (Vincennes),Vincennes,IN,47591-1038,46.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
570,Memorial Hospital and Health Care Center,Jasper,IN,47546-2516,45.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="""
571,Mishawaka Medical Center,Mishawaka,IN,46545-1469,45.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
572,Clark Memorial Hospital,Jeffersonville,IN,47130-3743,44.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
573,Community Hospital-Munster,Munster,IN,46321-2959,44.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
574,Floyd Memorial Hospital,New Albany,IN,47150-4997,44.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
575,Hancock Regional Hospital,Greenfield,IN,46140-1270,43.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
576,St. Vincent Anderson Hospital,Anderson,IN,46016-4339,43.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
577,St. Mary's Medical Center (Evansville),Evansville,IN,47714-0541,43.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
578,Lutheran Hospital of Indiana,Fort Wayne,IN,46804-4140,43.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
579,Highpoint Health-Lawrenceburg,Lawrenceburg,IN,47025-2751,43.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
580,Marion General Hospital-Indiana,Marion,IN,46952-2690,42.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
581,Methodist Hospitals,Gary,IN,46402-6099,41.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
582,La Porte Hospital,La Porte,IN,46350-3201,40.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
583,Fransiscan St. Francis Health Indianapolis,Indianapolis,IN,46237-8601,39.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
584,Community Hospital South,Indianapolis,IN,46227-0963,38.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
585,Union Hospital (Terre Haute),Terre Haute,IN,47804-2780,37.0,/best-hospitals/area/co/national-jewish-health-6840315/pul
586,Community Hospital North,Indianapolis,IN,46256-1695,36.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
587,St. Vincent Kokomo Hospital,Kokomo,IN,46901-4197,36.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
588,Community Hospital East,Indianapolis,IN,46219-3095,34.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
589,Porter Memorial Hospital,Valparaiso,IN,46383-8947,34.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
590,Franciscan St. Anthony Health - Crown Point,Crown Point,IN,46307-8483,29.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
